source_otu	target_otu	synergy	redundant	source_phylum	source_genus	source_completeness	source_contamination	target_phylum	target_genus	target_completeness	target_contamination
bin.161	bin.216	0.0	0.21515838775973112	Halobacteriota	Methanocella	95.58	6.54	Halobacteriota	JABLXE01	76.34	6.86
bin.161	bin.189	0.0	-0.05841568546804343	Halobacteriota	Methanocella	95.58	6.54	Actinobacteriota		91.25	2.36
bin.161	bin.24	0.0	0.00177136692501461	Halobacteriota	Methanocella	95.58	6.54	Halobacteriota	Methanocella	74.51	1.11
bin.161	bin.239	0.0	0.07680605814067257	Halobacteriota	Methanocella	95.58	6.54	Verrucomicrobiota	Udaeobacter	74.26	1.69
bin.161	bin.111	0.0	0.15291056695589894	Halobacteriota	Methanocella	95.58	6.54	Chloroflexota	Bellilinea	73.36	5.0
bin.161	bin.181	0.0	-0.013000867212042501	Halobacteriota	Methanocella	95.58	6.54	Proteobacteria	Macondimonas	93.97	2.01
bin.214	bin.189	0.0	0.06425403275661723	Halobacteriota	Methanocella	76.66	5.07	Actinobacteriota		91.25	2.36
bin.214	bin.24	0.0	0.12444108514967528	Halobacteriota	Methanocella	76.66	5.07	Halobacteriota	Methanocella	74.51	1.11
bin.214	bin.239	0.0	0.19947577636533323	Halobacteriota	Methanocella	76.66	5.07	Verrucomicrobiota	Udaeobacter	74.26	1.69
bin.214	bin.111	0.0	0.2755802851805596	Halobacteriota	Methanocella	76.66	5.07	Chloroflexota	Bellilinea	73.36	5.0
bin.214	bin.140	0.0	0.06425403275661723	Halobacteriota	Methanocella	76.66	5.07	Halobacteriota	Methanocella_A	95.92	1.31
bin.214	bin.181	0.0	0.10966885101261817	Halobacteriota	Methanocella	76.66	5.07	Proteobacteria	Macondimonas	93.97	2.01
bin.151	bin.24	0.0	0.2244489430687472	Desulfobacterota	UBA2192	92.9	1.35	Halobacteriota	Methanocella	74.51	1.11
bin.161	bin.151	0.0	0.1058462052076457	Halobacteriota	Methanocella	95.58	6.54	Desulfobacterota	UBA2192	92.9	1.35
bin.151	bin.181	0.0	0.20967670893169008	Desulfobacterota	UBA2192	92.9	1.35	Proteobacteria	Macondimonas	93.97	2.01
bin.140	bin.181	0.0	0.04541481825600093	Halobacteriota	Methanocella_A	95.92	1.31	Proteobacteria	Macondimonas	93.97	2.01
